box_id,layer,box_number,hour,x_inches,y_inches,z_inches,exposed_surfaces,observed_mean,observed_stdev,observed_trial_count,simulation_count,mean_simulated_value,stdev_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,risk_percent,mean_difference,absolute_mean_difference,observed_is_risky,monte_carlo_is_risky,risk_agreement,observed_inside_5_95_interval
L2B8,2,8,18,8.0,27.75,25.0,2,1.86,1.7472836060582722,5,500,1.919854205449245,1.665467779221678,-0.9821972969292544,1.9028705328090263,4.4864753716084165,9.6,0.0598542054492448,0.0598542054492448,False,False,True,True
L2B8,2,8,24,8.0,27.75,25.0,2,3.72,1.3809417076763233,5,500,3.76611911737209,1.357638838987384,1.6064099764555433,3.685622863698873,6.002346950854789,42.0,0.046119117372089846,0.046119117372089846,False,False,True,True
L2B9,2,9,0,24.0,27.75,25.0,2,-0.92,0.303315017762062,5,500,-0.921698972104268,0.300453327361613,-1.402869844714226,-0.9197700733002512,-0.4039175794603344,0.0,-0.0016989721042679484,0.0016989721042679484,False,False,True,True
L2B9,2,9,6,24.0,27.75,25.0,2,-0.3,1.0124228365658294,5,500,-0.2872448387529624,0.9454679153089004,-1.8914122312001012,-0.2669892421327121,1.235447209857971,0.0,0.012755161247037572,0.012755161247037572,False,False,True,True
L2B9,2,9,12,24.0,27.75,25.0,2,0.74,1.820164827701052,5,500,0.5127705407369834,1.8272790171162092,-2.4285493920359995,0.4804046055053689,3.378943636684126,2.6,-0.22722945926301663,0.22722945926301663,False,False,True,True
L2B9,2,9,18,24.0,27.75,25.0,2,2.0200000000000005,2.3857912733514643,5,500,1.9999171623498837,2.311621253389121,-1.5239240461447137,1.933940625696123,5.794579040086768,20.0,-0.020082837650116758,0.020082837650116758,False,False,True,True
L2B9,2,9,24,24.0,27.75,25.0,2,3.38,1.9854470529329156,5,500,3.353379686623132,1.9554602705807411,-0.0144871616731779,3.413913257370194,6.705123975198137,35.4,-0.026620313376867877,0.026620313376867877,False,False,True,True
L3B11,3,11,0,11.75,8.0,15.0,2,-0.6799999999999999,0.3346640106136302,5,500,-0.6913727234923612,0.3335412010299898,-1.2236144648564975,-0.6891285679341067,-0.1350186012303148,0.0,-0.011372723492361292,0.011372723492361292,False,False,True,True
L3B11,3,11,6,11.75,8.0,15.0,2,-0.48,0.6418722614352484,5,500,-0.5165803299776562,0.6365167988553144,-1.58963012618118,-0.535825009550089,0.5115291110548207,0.0,-0.036580329977656256,0.036580329977656256,False,False,True,True
L3B11,3,11,12,11.75,8.0,15.0,2,0.6,1.8069310999592647,5,500,0.6031730025483601,1.8032524948842032,-2.258024981379981,0.5482673096007509,3.407919981578713,3.6,0.003173002548360171,0.003173002548360171,False,False,True,True
L3B11,3,11,18,11.75,8.0,15.0,2,1.6,1.620185174601965,5,500,1.6934989953792383,1.6269352677156137,-0.8484970904670215,1.6047113240050042,4.558337254215609,7.000000000000001,0.09349899537923823,0.09349899537923823,False,False,True,True
L3B11,3,11,24,11.75,8.0,15.0,2,2.78,1.9305439647933436,5,500,2.87325925841272,1.9671098570308168,-0.3730374370955034,2.811198265926495,6.216930011299226,26.8,0.09325925841272031,0.09325925841272031,False,False,True,True
L3B12,3,12,0,35.25,8.0,15.0,2,-0.64,0.1949358868961792,5,500,-0.6309755677104169,0.1987490897322696,-0.9647750983737802,-0.6276723573414675,-0.3160054861190338,0.0,0.009024432289583162,0.009024432289583162,False,False,True,True
L3B12,3,12,6,35.25,8.0,15.0,2,-0.6,0.3999999999999999,5,500,-0.5943213376766847,0.3951766729457542,-1.2919677359171282,-0.5856414201778477,0.0513591659416253,0.0,0.0056786623233152644,0.0056786623233152644,False,False,True,True
L3B12,3,12,12,35.25,8.0,15.0,2,-0.1399999999999999,1.3352902306240393,5,500,-0.148240967533785,1.342333447690848,-2.469447024818024,-0.1159253486322859,2.059878770496413,0.0,-0.008240967533785087,0.008240967533785087,False,False,True,True
L3B12,3,12,18,35.25,8.0,15.0,2,0.8800000000000001,1.2235195135346228,5,500,0.8583188281293862,1.2175442531032357,-1.165262899410035,0.89721779681324,2.901426297242079,0.2,-0.021681171870613913,0.021681171870613913,False,False,True,True
L3B12,3,12,24,35.25,8.0,15.0,2,1.72,1.9253571097331528,5,500,1.7991257815144566,2.0193345841148984,-1.615160280199047,1.8150839476731508,4.952887889260279,13.6,0.0791257815144566,0.0791257815144566,False,False,True,True
L3B13,3,13,0,8.0,27.75,15.0,2,-0.72,0.4969909455915671,5,500,-0.7614542021133915,0.5117629362490568,-1.699616183283791,-0.7268429982116911,0.0541469999895514,0.0,-0.04145420211339157,0.04145420211339157,False,False,True,True
L3B13,3,13,6,8.0,27.75,15.0,2,-0.48,0.9038805230781334,5,500,-0.5267531991167772,0.8870787720054748,-1.9662020282249884,-0.5366901914725395,0.9565708313623762,0.0,-0.04675319911677722,0.04675319911677722,False,False,True,True
